Year,State,County,Value
2016,INDIANA,OWEN,160.5
2016,INDIANA,PARKE,182.8
2016,INDIANA,VERMILLION,197.5
2016,INDIANA,WARREN,212.3
2015,INDIANA,BARTHOLOMEW,161
2015,INDIANA,BOONE,136.5
2015,INDIANA,CLINTON,146.6
2015,INDIANA,DECATUR,177.9
2015,INDIANA,GRANT,135.1
2015,INDIANA,HAMILTON,145.4
2015,INDIANA,HANCOCK,149.9
2015,INDIANA,HENDRICKS,149.7
2015,INDIANA,HOWARD,160.4
2015,INDIANA,JOHNSON,152
2015,INDIANA,MADISON,136.3
2015,INDIANA,MARION,167.8
2015,INDIANA,MORGAN,155.4
2015,INDIANA,RUSH,169.7
2015,INDIANA,SHELBY,157.2
2015,INDIANA,TIPTON,173.4
2015,INDIANA,BLACKFORD,117.5
2015,INDIANA,DELAWARE,130.1
2015,INDIANA,FAYETTE,181.5
2015,INDIANA,HENRY,158
2015,INDIANA,JAY,108.3
2015,INDIANA,RANDOLPH,144.8
2015,INDIANA,UNION,174
2015,INDIANA,WAYNE,161.2
2015,INDIANA,CARROLL,157.2
2015,INDIANA,CASS,129.4
2015,INDIANA,ELKHART,154.7
2015,INDIANA,FULTON,142.1
2015,INDIANA,KOSCIUSKO,170.9
2015,INDIANA,MARSHALL,143.7
2015,INDIANA,MIAMI,138.6
2015,INDIANA,ST. JOSEPH,151.5
2015,INDIANA,WABASH,135.3
2015,INDIANA,ADAMS,103.5
2015,INDIANA,ALLEN,120.7
2015,INDIANA,HUNTINGTON,123.1
2015,INDIANA,LAGRANGE,150
2015,INDIANA,NOBLE,163.1
2015,INDIANA,OTHER (COMBINED) COUNTIES,159.6
2015,INDIANA,WELLS,112.5
2015,INDIANA,WHITLEY,138.8
2015,INDIANA,BENTON,169.3
2015,INDIANA,JASPER,98.3
2015,INDIANA,LA PORTE,151.3
2015,INDIANA,LAKE,142
2015,INDIANA,NEWTON,110.9
2015,INDIANA,PORTER,151.5
2015,INDIANA,PULASKI,109.7
2015,INDIANA,STARKE,97.6
2015,INDIANA,WHITE,128
2015,INDIANA,FLOYD,158.1
2015,INDIANA,HARRISON,173.1
2015,INDIANA,JACKSON,151.6
2015,INDIANA,LAWRENCE,178.4
2015,INDIANA,MONROE,158.8
2015,INDIANA,ORANGE,190.5
2015,INDIANA,OTHER (COMBINED) COUNTIES,153.1
2015,INDIANA,WASHINGTON,156
2015,INDIANA,CLARK,162.1
2015,INDIANA,DEARBORN,151.9
2015,INDIANA,FRANKLIN,182.4
2015,INDIANA,JEFFERSON,151.8
2015,INDIANA,JENNINGS,160.3
2015,INDIANA,OHIO,162.5
2015,INDIANA,RIPLEY,158.7
2015,INDIANA,SCOTT,167.8
2015,INDIANA,SWITZERLAND,158.2
2015,INDIANA,DAVIESS,174.4
2015,INDIANA,DUBOIS,165.8
2015,INDIANA,GIBSON,177.1
2015,INDIANA,KNOX,164.5
2015,INDIANA,MARTIN,149.4
2015,INDIANA,OTHER (COMBINED) COUNTIES,162.8
2015,INDIANA,POSEY,190.3
2015,INDIANA,SPENCER,163.7
2015,INDIANA,SULLIVAN,163
2015,INDIANA,VANDERBURGH,166.4
2015,INDIANA,WARRICK,151.9
2015,INDIANA,CLAY,165.5
2015,INDIANA,FOUNTAIN,169.4
2015,INDIANA,MONTGOMERY,176.5
2015,INDIANA,OWEN,164.1
2015,INDIANA,PARKE,160.8
2015,INDIANA,PUTNAM,149.6
2015,INDIANA,TIPPECANOE,147.9
2015,INDIANA,VERMILLION,156.3
2015,INDIANA,VIGO,164
2015,INDIANA,WARREN,178.7
2014,INDIANA,BARTHOLOMEW,200.3
2014,INDIANA,BOONE,200.6
2014,INDIANA,CLINTON,214.1
2014,INDIANA,DECATUR,205.8
2014,INDIANA,GRANT,185
2014,INDIANA,HAMILTON,197.3
2014,INDIANA,HANCOCK,188.6
2014,INDIANA,HENDRICKS,198.5
2014,INDIANA,HOWARD,200.6
2014,INDIANA,JOHNSON,186.9
2014,INDIANA,MADISON,196.4
2014,INDIANA,MARION,178.5
2014,INDIANA,MORGAN,197
2014,INDIANA,RUSH,197.3
2014,INDIANA,SHELBY,187.9
2014,INDIANA,TIPTON,214.9
2014,INDIANA,BLACKFORD,157.1
2014,INDIANA,DELAWARE,174
2014,INDIANA,FAYETTE,187.4
2014,INDIANA,HENRY,192.9
2014,INDIANA,JAY,169.1
2014,INDIANA,RANDOLPH,179.6
2014,INDIANA,UNION,200
2014,INDIANA,WAYNE,185.2
2014,INDIANA,CARROLL,205.3
2014,INDIANA,CASS,195.9
2014,INDIANA,ELKHART,182
2014,INDIANA,FULTON,177.9
2014,INDIANA,KOSCIUSKO,173.5
2014,INDIANA,MARSHALL,183.3
2014,INDIANA,MIAMI,176.5
